,year,title,genre,avg_vote,movie_rating
0,2005,The Naked Monster,"Comedy, Horror, Sci-Fi",5.6,okay
1,2005,What Is It?,Drama,5.6,okay
2,2005,Fantastic Four,"Action, Adventure, Fantasy",5.7,okay
3,2005,Corpse Bride,"Animation, Drama, Family",7.3,good
4,2005,Star Wars: Episode III - Revenge of the Sith,"Action, Adventure, Fantasy",7.5,good
5,2005,Shooting Vegetarians,"Comedy, Drama",4.8,okay
6,2005,The Prodigy,"Crime, Drama, Thriller",5.5,okay
7,2005,Angels with Angles,Comedy,4.8,okay
10,2005,Firecracker,"Crime, Drama, Mystery",5.4,okay
12,2005,Bob the Butler,"Comedy, Family",5.5,okay
13,2005,Bad Girls from Valley High,Comedy,3.5,okay
14,2005,Ripley Under Ground,"Crime, Drama, Thriller",6.1,good
15,2005,Lucky 13,"Comedy, Romance",4.6,okay
16,2005,Cl.One,"Sci-Fi, Thriller",3.3,okay
17,2005,Fortunes,Comedy,4.3,okay
18,2005,Water,Drama,7.7,good
19,2005,Mee-Shee: The Water Giant,"Adventure, Family, Fantasy",5.3,okay
21,2005,In Memory of My Father,"Comedy, Drama",6.0,okay
23,2005,Cursed,"Comedy, Horror",5.0,okay
25,2005,Imposture,Thriller,6.4,good
26,2005,2001 Maniacs,"Comedy, Horror",5.3,okay
28,2005,Thru the Moebius Strip,"Animation, Adventure, Sci-",5.1,okay
29,2005,The Ringer,"Comedy, Sport",5.8,okay
31,2005,From Venus,"Horror, Sci-Fi",4.5,okay
32,2005,Heaven's Neighbors,Drama,7.1,good
35,2005,Havoc,"Crime, Drama",5.5,okay
36,2005,Alchemy,"Comedy, Romance",5.4,okay
38,2005,Iluminados por el fuego,"Adventure, Drama, War",6.8,good
39,2005,Man-Thing,"Action, Adventure, Horror",4.0,okay
40,2005,The Keeper: The Legend of Omar Khayyam,"Adventure, Drama, Family",6.4,good
41,2005,Rent,"Drama, Musical, Romance",6.9,good
42,2005,The Sea Wolf,"Action, Adventure, Romance",3.6,okay
43,2005,Going Shopping,"Drama, Romance",4.7,okay
45,2005,The Civilization of Maxwell Bright,Drama,6.5,good
46,2005,All Babes Want to Kill Me,"Comedy, Romance",4.0,okay
47,2005,Black Wine,Thriller,4.3,okay
48,2005,Dark Assassin,"Action, Thriller",3.3,okay
50,2005,Love Thy Neighbor,"Comedy, Drama, Mystery",3.6,okay
51,2005,Funny Valentine,"Comedy, Romance",4.4,okay
53,2005,Les Boys IV,"Comedy, Sport",4.9,okay
55,2005,Extreme Dating,"Action, Romance, Comedy",5.2,okay
56,2005,Tracks,"Drama, Crime",5.0,okay
57,2005,The Curse of the Were-Rabbit,"Animation, Adventure, Come",7.4,good
59,2005,Break a Leg,"Comedy, Drama, Thriller",5.1,okay
60,2005,Constellation,Drama,3.8,okay
61,2005,Because of Winn-Dixie,"Comedy, Drama, Family",6.3,good
64,2005,A Sound of Thunder,"Action, Adventure, Horror",4.2,okay
65,2005,Sahara,"Action, Adventure, Comedy",6.0,okay
66,2005,Thumbsucker,"Comedy, Drama",6.6,good
67,2005,El viento,"Drama, Romance",6.8,good
68,2005,Kingdom of Heaven,"Action, Adventure, Drama",7.2,good
69,2005,Blodsbröder,"Crime, Drama",2.8,bad
71,2005,Ze film,Comedy,5.4,okay
73,2005,Los suicidas,Mystery,5.5,okay
75,2005,Sabah,"Comedy, Drama, Romance",6.8,good
76,2005,"Jesus, Mary and Joey","Comedy, Romance",4.8,okay
77,2005,Her Name Is Carla,"Drama, Thriller",5.0,okay
78,2005,The Great Raid,"Action, Drama, War",6.7,good
80,2005,The Bike Squad,"Comedy, Family",3.1,okay
81,2005,Dirty Love,"Comedy, Romance",3.6,okay
82,2005,Lung do kei yuen,"Animation, Action, Adventu",4.9,okay
83,2005,My Suicidal Sweetheart,"Comedy, Drama",5.5,okay
85,2005,Taj Mahal: An Eternal Love Story,"Drama, History, Musical",5.2,okay
87,2005,xXx: State of the Union,"Action, Adventure, Crime",4.4,okay
88,2005,Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy",7.7,good
90,2005,Man of the House,"Comedy, Crime",5.4,okay
91,2005,Fever Pitch,"Comedy, Drama, Romance",6.2,good
92,2005,Antikörper,"Crime, Drama, Horror",7.0,good
93,2005,Dot.Kill,"Crime, Drama, Thriller",4.7,okay
94,2005,Keep Your Distance,"Drama, Mystery, Romance",5.2,okay
95,2005,Zerkalnye voyny. Otrazhenie pervoe,"Action, Crime, Drama",2.9,bad
96,2005,The Trouble with Men and Women,"Drama, Romance",4.7,okay
97,2005,Sledge: The Untold Story,"Action, Comedy, Musical",3.5,okay
98,2005,Nowhere Man,"Comedy, Crime, Drama",3.7,okay
99,2005,Shopgirl,"Drama, Romance",6.3,good
100,2005,Diamond Zero,"Sci-Fi, Action, Comedy",4.3,okay
101,2005,Beauty and the Beast,"Action, Adventure, Family",4.1,okay
103,2005,The Magic Roundabout,"Animation, Adventure, Come",5.2,okay
104,2005,Daltry Calhoun,"Comedy, Drama, Music",5.1,okay
105,2005,Strike the Tent,"Action, Biography, Drama",5.3,okay
107,2005,Hostage,"Action, Crime, Drama",6.6,good
108,2005,Self Medicated,"Biography, Drama",5.7,okay
109,2005,Unleashed,"Action, Crime, Drama",7.0,good
110,2005,Dear Wendy,"Comedy, Crime, Drama",6.6,good
111,2005,Manderlay,Drama,7.3,good
112,2005,The PianoTuner of EarthQuakes,"Drama, Fantasy, Music",6.3,good
113,2005,Äideistä parhain,"Drama, War",7.6,good
114,2005,Fugitives Run,Comedy,3.1,okay
116,2005,The Lost City,"Drama, Romance",6.6,good
119,2005,Mangal Pandey: The Rising,"Biography, Drama, History",6.6,good
121,2005,Waiting...,Comedy,6.8,good
122,2005,Asylum,"Drama, Romance, Thriller",6.1,good
123,2005,Die You Zombie Bastards!,"Comedy, Fantasy, Horror",4.4,okay
125,2005,Netaji Subhas Chandra Bose: The Forgotten Hero,"Biography, Drama, History",7.5,good
126,2005,Slaughterhouse of the Rising Sun,"Comedy, Horror",3.7,okay
128,2005,An Unfinished Life,"Drama, Family, Romance",7.0,good
129,2005,Zwarte zwanen,Drama,6.3,good
130,2005,Madagascar,"Animation, Adventure, Come",6.9,good
131,2005,Tweek City,Drama,4.0,okay
132,2005,Cinderella Man,"Biography, Drama, History",8.0,good
134,2005,The Crow: Wicked Prayer,"Action, Adventure, Comedy",3.0,okay
137,2005,The Game of Their Lives,"Drama, History, Sport",6.1,good
139,2005,The Brothers Grimm,"Action, Adventure, Comedy",5.9,okay
140,2005,The Illustrated Family Doctor,"Comedy, Drama, Fantasy",5.8,okay
141,2005,Lords of Dogtown,"Biography, Drama, Sport",7.1,good
143,2005,The Family Stone,"Comedy, Drama, Romance",6.3,good
144,2005,Mr. & Mrs. Smith,"Action, Comedy, Crime",6.5,good
145,2005,The Ballad of Jack and Rose,Drama,6.6,good
146,2005,Rx,"Thriller, Crime, Romance",5.4,okay
147,2005,Elektra,"Action, Adventure, Crime",4.7,okay
148,2005,Boogeyman,"Drama, Horror, Mystery",4.2,okay
149,2005,Dr. Rage,"Horror, Thriller",2.6,bad
150,2005,Robots,"Animation, Adventure, Come",6.3,good
151,2005,Walk the Line,"Biography, Drama, Music",7.8,good
152,2005,Into the Sun,"Action, Thriller",4.4,okay
153,2005,Ainoa,"Adventure, Sci-Fi",4.9,okay
155,2005,Silence Becomes You,"Drama, Horror, Mystery",4.3,okay
156,2005,Standing Still,"Comedy, Drama, Romance",5.7,okay
158,2005,Constantine,"Action, Fantasy, Horror",7.0,good
159,2005,King Kong,"Action, Adventure, Drama",7.2,good
160,2005,Valiant,"Animation, Adventure, Come",5.5,okay
161,2005,Happy Endings,"Comedy, Drama, Music",6.3,good
162,2005,Duma,"Adventure, Drama, Family",7.2,good
165,2005,Son of the Mask,"Comedy, Family, Fantasy",2.2,bad
167,2005,Hermanas,Drama,6.5,good
168,2005,Monobloc,Drama,4.8,okay
169,2005,Bewafaa,"Drama, Romance",4.3,okay
170,2005,Bigger Than the Sky,"Comedy, Drama, Romance",5.9,okay
171,2005,"The Chronicles of Narnia: The Lion, the Witch and t","Adventure, Family, Fantasy",6.9,good
172,2005,Lovesick,"Drama, Romance",3.4,okay
173,2005,Le promeneur du Champ de Mars,"Biography, Drama",7.1,good
174,2005,The Gingerdead Man,"Comedy, Fantasy, Horror",3.4,okay
175,2005,Neo Ned,"Drama, Romance",7.1,good
176,2005,The Unknown,"Thriller, Action, Adventur",3.4,okay
179,2005,Dating Games People Play,"Comedy, Romance",5.0,okay
180,2005,Man with the Screaming Brain,"Adventure, Comedy, Sci-Fi",5.6,okay
181,2005,Las mantenidas sin sueños,"Comedy, Drama",6.9,good
182,2005,The Matador,"Comedy, Crime, Thriller",6.7,good
183,2005,Revolver,"Action, Crime, Drama",6.4,good
184,2005,Syriana,"Drama, Thriller",6.9,good
186,2005,San wa,"Action, Adventure, Comedy",6.1,good
187,2005,The Upside of Anger,"Comedy, Drama",6.8,good
189,2005,Géminis,Drama,6.0,okay
191,2005,The Jacket,"Drama, Fantasy, Mystery",7.1,good
192,2005,Lethal,"Action, Drama",2.5,bad
193,2005,Mirrormask,"Adventure, Fantasy",6.8,good
195,2005,Sorstalanság,"Drama, Romance, War",6.9,good
196,2005,The Squid and the Whale,"Comedy, Drama",7.3,good
198,2005,Charlie and the Chocolate Factory,"Adventure, Comedy, Family",6.6,good
199,2005,Deuce Bigalow: European Gigolo,Comedy,4.7,okay
200,2005,Hallesche Kometen,Drama,6.7,good
201,2005,Romance & Cigarettes,"Comedy, Musical, Romance",6.3,good
