adult,backdrop_path,id,title,original_language,original_title,overview,poster_path,media_type,genre_ids,popularity,release_date,video,vote_average,vote_count
False,/jXJxMcVoEuXzym3vFnjqDW4ifo6.jpg,572802,Aquaman and the Lost Kingdom,en,Aquaman and the Lost Kingdom,"Black Manta, still driven by the need to avenge his father's death and wielding the power of the mythic Black Trident, will stop at nothing to take Aquaman down once and for all. To defeat him, Aquaman must turn to his imprisoned brother Orm, the former King of Atlantis, to forge an unlikely alliance in order to save the world from irreversible destruction.",/7lTnXOy0iNtBAdRP3TZvaKJ77F6.jpg,movie,"[28, 12, 14]",5841.384,2023-12-20,False,7.0,1136
False,/yOm993lsJyPmBodlYjgpPwBjXP9.jpg,787699,Wonka,en,Wonka,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.",/qhb1qOilapbapxWQn9jtRCMwXJF.jpg,movie,"[35, 10751, 14]",2333.391,2023-12-06,False,7.3,1649
False,/ehumsuIBbgAe1hg343oszCLrAfI.jpg,1022796,Wish,en,Wish,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.",/AcoVfiv1rrWOmAdpnAMnM56ki19.jpg,movie,"[16, 10751, 14, 12]",1662.711,2023-11-13,False,6.634,534
False,/h0oBqUpax591vOacpBsDJ8cynjk.jpg,792307,Poor Things,en,Poor Things,"Brought back to life by an unorthodox scientist, a young woman runs off with a debauched lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.",/kCGlIMHnOm8JPXq3rXM6c5wMxcT.jpg,movie,"[878, 10749, 35]",494.869,2023-12-07,False,8.207,601
False,/meyhnvssZOPPjud4F1CjOb4snET.jpg,940551,Migration,en,Migration,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",/ldfCF9RhR40mppkzmftxapaHeTo.jpg,movie,"[16, 12, 35, 10751, 28]",1486.31,2023-12-06,False,7.824,383
False,/fm6KqXpk3M2HVveHwCrBSSBaO0V.jpg,872585,Oppenheimer,en,Oppenheimer,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,/ptpr0kGAckfQkJeJIt8st5dglvd.jpg,movie,"[18, 36]",463.169,2023-07-19,False,8.113,6454
False,/du11oPPbEoDnUpiREO5tUg47rJd.jpg,365620,Ferrari,en,Ferrari,"Set during the summer of 1957. Ex-racecar driver, Enzo Ferrari, is in crisis. Bankruptcy stalks the company he and his wife, Laura, built from nothing ten years earlier. Their tempestuous marriage struggles with the mourning for one son and the acknowledgement of another.",/xBFyJHvXCTgf9Vmq5uCnXRHrMQ4.jpg,movie,"[18, 36]",205.642,2023-12-14,False,6.688,264
False,/gg4zZoTggZmpAQ32qIrP5dtnkEZ.jpg,891699,Silent Night,en,Silent Night,"A tormented father witnesses his young son die when caught in a gang's crossfire on Christmas Eve. While recovering from a wound that costs him his voice, he makes vengeance his life's mission and embarks on a punishing training regimen in order to avenge his son's death.",/nJCP1ZNTPKlZ7S0Kv3gbmuraAT4.jpg,movie,"[28, 12, 53]",293.759,2023-11-30,False,6.2,362
False,/fGe1ej335XbqN1j9teoDpofpbLX.jpg,915935,Anatomy of a Fall,fr,Anatomie d'une chute,"A woman is suspected of her husband’s murder, and their blind son faces a moral dilemma as the sole witness.",/kQs6keheMwCxJxrzV83VUwFtHkB.jpg,movie,"[18, 9648, 80]",174.136,2023-08-13,False,7.762,789
False,/tLxjbT5ROZRwYcpNT3nfQbqkApk.jpg,609681,The Marvels,en,The Marvels,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",/9GBhzXMFjgcZ3FdR9w3bUMMTps5.jpg,movie,"[878, 12, 28]",1397.918,2023-11-08,False,6.42,1324
False,/nHf61UzkfFno5X1ofIhugCPus2R.jpg,346698,Barbie,en,Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,movie,"[35, 12, 14]",334.145,2023-07-19,False,7.137,7149
False,/1X7vow16X7CnCoexXh4H4F2yDJv.jpg,466420,Killers of the Flower Moon,en,Killers of the Flower Moon,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.",/dB6Krk806zeqd0YNp2ngQ9zXteH.jpg,movie,"[80, 36, 18]",349.281,2023-10-18,False,7.536,2175
