,year,title,genre,avg_vote,movie_rating,duration,watchability
0,2005,The Naked Monster,"Comedy, Horror, Sci-Fi",5.6,okay,100,really long movie
1,2005,What Is It?,Drama,5.6,okay,72,avg length movie
2,2005,Fantastic Four,"Action, Adventure, Fantasy",5.7,okay,106,really long movie
3,2005,Corpse Bride,"Animation, Drama, Family",7.3,good,77,avg length movie
4,2005,Star Wars: Episode III - Revenge of the Sith,"Action, Adventure, Fantasy",7.5,good,140,really long movie
5,2005,Shooting Vegetarians,"Comedy, Drama",4.8,okay,76,avg length movie
6,2005,The Prodigy,"Crime, Drama, Thriller",5.5,okay,120,really long movie
7,2005,Angels with Angles,Comedy,4.8,okay,87,avg length movie
8,2006,Live Freaky Die Freaky,"Animation, Comedy, Musical",5.0,okay,75,avg length movie
9,2006,Death of a Saleswoman,"Comedy, Mystery",1.5,bad,77,avg length movie
10,2005,Firecracker,"Crime, Drama, Mystery",5.4,okay,112,really long movie
11,2006,Children of Men,"Drama, Thriller",7.9,good,109,really long movie
12,2005,Bob the Butler,"Comedy, Family",5.5,okay,90,no data
13,2005,Bad Girls from Valley High,Comedy,3.5,okay,84,avg length movie
14,2005,Ripley Under Ground,"Crime, Drama, Thriller",6.1,good,101,really long movie
15,2005,Lucky 13,"Comedy, Romance",4.6,okay,95,really long movie
16,2005,Cl.One,"Sci-Fi, Thriller",3.3,okay,112,really long movie
17,2005,Fortunes,Comedy,4.3,okay,91,really long movie
18,2005,Water,Drama,7.7,good,117,really long movie
19,2005,Mee-Shee: The Water Giant,"Adventure, Family, Fantasy",5.3,okay,95,really long movie
20,2006,Funny Money,Comedy,5.3,okay,98,really long movie
21,2005,In Memory of My Father,"Comedy, Drama",6.0,okay,96,really long movie
22,2006,Pretty Cool,"Comedy, Sci-Fi",4.2,okay,92,really long movie
23,2005,Cursed,"Comedy, Horror",5.0,okay,97,really long movie
24,2006,.45,"Crime, Drama, Thriller",5.6,okay,101,really long movie
25,2005,Imposture,Thriller,6.4,good,101,really long movie
26,2005,2001 Maniacs,"Comedy, Horror",5.3,okay,87,avg length movie
27,2006,Love Is the Drug,Drama,5.5,okay,96,really long movie
28,2005,Thru the Moebius Strip,"Animation, Adventure, Sci-",5.1,okay,87,avg length movie
29,2005,The Ringer,"Comedy, Sport",5.8,okay,94,really long movie
30,2006,How to Go Out on a Date in Queens,"Comedy, Romance",4.3,okay,90,no data
31,2005,From Venus,"Horror, Sci-Fi",4.5,okay,88,avg length movie
32,2005,Heaven's Neighbors,Drama,7.1,good,115,really long movie
33,2006,Beyond the Wall of Sleep,Horror,2.8,bad,84,avg length movie
34,2006,Obsluhoval jsem anglického krále,"Comedy, Drama, Romance",7.4,good,113,really long movie
35,2005,Havoc,"Crime, Drama",5.5,okay,85,avg length movie
36,2005,Alchemy,"Comedy, Romance",5.4,okay,86,avg length movie
37,2006,Under Surveillance,"Horror, Mystery, Thriller",4.2,okay,89,avg length movie
38,2005,Iluminados por el fuego,"Adventure, Drama, War",6.8,good,100,really long movie
39,2005,Man-Thing,"Action, Adventure, Horror",4.0,okay,97,really long movie
40,2005,The Keeper: The Legend of Omar Khayyam,"Adventure, Drama, Family",6.4,good,95,really long movie
41,2005,Rent,"Drama, Musical, Romance",6.9,good,135,really long movie
42,2005,The Sea Wolf,"Action, Adventure, Romance",3.6,okay,94,really long movie
43,2005,Going Shopping,"Drama, Romance",4.7,okay,106,really long movie
44,2006,Slipp Jimmy fri,"Animation, Comedy",6.0,okay,86,avg length movie
45,2005,The Civilization of Maxwell Bright,Drama,6.5,good,107,really long movie
46,2005,All Babes Want to Kill Me,"Comedy, Romance",4.0,okay,82,avg length movie
47,2005,Black Wine,Thriller,4.3,okay,88,avg length movie
48,2005,Dark Assassin,"Action, Thriller",3.3,okay,82,avg length movie
49,2006,Raising Flagg,Comedy,5.4,okay,103,really long movie
50,2005,Love Thy Neighbor,"Comedy, Drama, Mystery",3.6,okay,89,avg length movie
51,2005,Funny Valentine,"Comedy, Romance",4.4,okay,90,no data
52,2006,Bobby,"Biography, Drama, History",7.0,good,117,really long movie
53,2005,Les Boys IV,"Comedy, Sport",4.9,okay,121,really long movie
54,2006,Happily N'Ever After,"Animation, Adventure, Come",4.5,okay,75,avg length movie
